step,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
