step,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
